Title,Author,Genre,Status,Rating
Riot Baby,Tochi Onyebuchi,Science Fiction,Want to Read,0
The End of October,Lawrence Wright,Mystery,Want to Read,0
The Space Between Worlds,Micaiah Johnson,Science Fiction,Want to Read,0
"The Friend Zone (The Friend Zone,  1)",Abby Jimenez,Contemporary,Want to Read,0
You Had Me at Hola,Alexis Daria,Romance,Want to Read,0
Beach Read,Emily Henry,Contemporary,Want to Read,0
Boyfriend Material,Alexis  Hall,Romance,Want to Read,0
One to Watch,Kate Stayman-London,Contemporary,Want to Read,0
"A Deadly Education (The Scholomance,  1)",Naomi Novik,Fantasy,Want to Read,0
"The City We Became (Great Cities,  1)",N.K. Jemisin,Fantasy,Want to Read,0
The Once and Future Witches,Alix E. Harrow,Fantasy,Want to Read,0
A Long Petal of the Sea,Isabel Allende,Historical,Want to Read,0
The Book of Lost Names,Kristin Harmel,Historical,Want to Read,0
The Book of Lost Friends,Lisa Wingate,Historical,Want to Read,0
One by One,Ruth Ware,Mystery,Want to Read,0
Long Bright River,Liz    Moore,Mystery,Want to Read,0
The Wives,Tarryn Fisher,Mystery,Want to Read,0
When No One is Watching,Alyssa Cole,Mystery,Want to Read,0
The Guest List,Lucy Foley,Mystery,Want to Read,0
Transcendent Kingdom,Yaa Gyasi,Contemporary,Want to Read,0
Dear Edward,Ann Napolitano,Contemporary,Want to Read,0
Anxious People,Fredrik Backman,Contemporary,Want to Read,0
American Dirt,Jeanine Cummins,Contemporary,Want to Read,0
The Girl with the Louding Voice,Abi Dare,Contemporary,Want to Read,0
Big Summer,Jennifer Weiner,Mystery,Want to Read,0
The Cousins,Karen M. McManus,Mystery,Want to Read,0
"Get a Life, Chloe Brown (The Brown Sisters,  1)",Talia Hibbert,Romance,Want to Read,0
The Black Kids,Christina Hammonds Reed,Contemporary,Read,4
Pretty Things,Janelle Brown,Contemporary,Read,4
"A Beautifully Foolish Endeavor (The Carls,  2)",Hank Green,Science Fiction,Read,5
Half of a Yellow Sun,Chimamanda Ngozi Adichie,Historical,Want to Read,0
Americanah,Chimamanda Ngozi Adichie,Contemporary,Read,4
The Intelligent Investor,Benjamin Graham,Non-Fiction,Want to Read,0
The Kind Worth Killing,Peter  Swanson,Mystery,Want to Read,0
A Promised Land,Barack Obama,Non-Fiction,Currently Reading,0
Apollo's Arrow: The Profound and Enduring Impact of Coronavirus on the Way We Live,Nicholas A. Christakis,Non-Fiction,Want to Read,0
Followers,Megan Angelo,Contemporary,Read,3
The Love & Lies of Rukhsana Ali,Sabina Khan,Contemporary,Read,3
"From Blood and Ash (Blood and Ash,  1)",Jennifer L. Armentrout,Romance,Want to Read,0
"The Poppy War (The Poppy War,  1)",R.F. Kuang,Fantasy,Want to Read,0
Because Internet: Understanding the New Rules of Language,Gretchen McCulloch,Non-Fiction,Read,4
Well-Behaved Indian Women,Saumya Dave,Contemporary,Read,3
Leave the World Behind,Rumaan Alam,Mystery,Want to Read,0
"How to Be Less Stupid About Race: On Racism, White Supremacy, and the Racial Divide",Crystal Marie Fleming,Non-Fiction,Read,4
War on Peace: The End of Diplomacy and the Decline of American Influence,Ronan Farrow,Non-Fiction,Want to Read,0
Lies Across America: What Our Historic Sites Get Wrong,James W. Loewen,Non-Fiction,Want to Read,0
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,Non-Fiction,Want to Read,0
"The Henna Artist (The Henna Artist,  1)",Alka Joshi,Historical,Read,4
Impact: A Step-by-Step Plan to Create the World You Want to Live In,Tammy Tibbetts,Non-Fiction,Want to Read,0
The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns,John C. Bogle,Non-Fiction,Want to Read,0
"Skyhunter (Skyhunter,  1)",Marie Lu,Science Fiction,Want to Read,0
Out of the Easy,Ruta Sepetys,Historical,Read,3
"The Empire of Gold (The Daevabad Trilogy,  3)",S.A. Chakraborty,Fantasy,Read,5
"Extra Scenes (The Daevabad Trilogy,  2.5)",S.A. Chakraborty,Fantasy,Read,0
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,Non-Fiction,Want to Read,0
"The Kingdom of Copper (The Daevabad Trilogy,  2)",S.A. Chakraborty,Fantasy,Read,5
Upstairs at the White House: My Life with the First Ladies,J.B. West,Non-Fiction,Want to Read,0
"The Shadow of What Was Lost (The Licanius Trilogy,  1)",James Islington,Fantasy,Want to Read,0
The Secrets Between Us,Thrity Umrigar,Historical,Read,5
The Space Between Us,Thrity Umrigar,Historical,Read,5
Tweet Cute,Emma Lord,Romance,Want to Read,0
Felix Ever After,Kacen Callender,Romance,Want to Read,0
Clap When You Land,Elizabeth Acevedo,Contemporary,Want to Read,0
"Warcross (Warcross,  1)",Marie Lu,Science Fiction,Want to Read,0
"The City of Brass (The Daevabad Trilogy,  1)",S.A. Chakraborty,Fantasy,Read,5
"The Tiger at Midnight (The Tiger at Midnight Trilogy,  1)",Swati Teerdhala,Fantasy,Want to Read,0
Written in the Stars,Alexandria Bellefleur,Contemporary,Want to Read,0
Zara Hossain Is Here,Sabina Khan,Contemporary,Want to Read,0
Internment,Samira Ahmed,Contemporary,Want to Read,0
A Match Made in Mehendi,Nandini Bajpai,Romance,Want to Read,0
The Henna Wars,Adiba Jaigirdar,Romance,Want to Read,0
"Pride, Prejudice, and Other Flavors (The Rajes,  1)",Sonali Dev,Romance,Want to Read,0
The Library of Fates,Aditi Khorana,Fantasy,Want to Read,0
Olive,Emma Gannon,Contemporary,Want to Read,0
My Dark Vanessa,Kate Elizabeth Russell,Mystery,Want to Read,0
"Ember Queen (Ash Princess Trilogy,  3)",Laura Sebastian,Fantasy,Read,4
"Lady Smoke (Ash Princess Trilogy,  2)",Laura Sebastian,Fantasy,Read,4
"Renegades (Renegades,  1)",Marissa Meyer,Science Fiction,Want to Read,0
All Our Yesterdays,Cristin Terrill,Science Fiction,Want to Read,0
The Family Upstairs,Lisa Jewell,Mystery,Read,4
How to Be an Antiracist,Ibram X. Kendi,Non-Fiction,Want to Read,0
Little Fires Everywhere,Celeste Ng,Historical,Read,5
The Matchmaker's List,Sonya Lalli,Romance,Want to Read,0
Grown-Up Pose,Sonya Lalli,Contemporary,Want to Read,0
Stories for South Asian Supergirls,Raj Kaur Khaira,Contemporary,Want to Read,0
Such a Fun Age,Kiley Reid,Contemporary,Read,5
"Ash Princess (Ash Princess Trilogy,  1)",Laura Sebastian,Fantasy,Read,3
The Couple Next Door,Shari Lapena,Mystery,Want to Read,0
The Marriage Game,Sara Desai,Romance,Want to Read,0
Kindred,Octavia E. Butler,Historical,Read,4
"Empire of Sand (The Books of Ambha,  1)",Tasha Suri,Fantasy,Want to Read,0
"Witchmark (The Kingston Cycle,  1)",C.L. Polk,Fantasy,Want to Read,0
"The Long Way to a Small, Angry Planet (Wayfarers,  1)",Becky Chambers,Science Fiction,Want to Read,0
The Library of the Unwritten (Hell's Library  1),A.J. Hackwith,Fantasy,Want to Read,0
"Jade City (The Green Bone Saga,  1)",Fonda Lee,Fantasy,Want to Read,0
"The Empress of Salt and Fortune (The Singing Hills Cycle,  1)",Nghi Vo,Fantasy,Want to Read,0
"Chilling Effect (Chilling Effect,  1)",Valerie Valdes,Science Fiction,Want to Read,0
The Beautiful Ones,Silvia Moreno-Garcia,Historical,Want to Read,0
Lilac Girls,Martha Hall Kelly,Historical,Read,5
"The Mathematics of Love: Patterns, Proofs, and the Search for the Ultimate Equation",Hannah Fry,Non-Fiction,Want to Read,0
Intellectuals and Race,Thomas Sowell,Non-Fiction,Want to Read,0
"Red, White & Royal Blue",Casey McQuiston,Romance,Read,5
"The Rage of Dragons (The Burning,  1)",Evan Winter,Fantasy,Want to Read,0
Most Likely (Most Likely  1),Sarah  Watson,Contemporary,Want to Read,0
The June Boys,Courtney C. Stevens,Mystery,Read,4
"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Layla F. Saad,Non-Fiction,Want to Read,0
"Blood & Honey (Serpent & Dove,  2)",Shelby Mahurin,Fantasy,Want to Read,0
"Serpent & Dove (Serpent & Dove,  1)",Shelby Mahurin,Fantasy,Read,3
"Chosen Ones (The Chosen Ones,  1)",Veronica Roth,Science Fiction,Want to Read,0
Why Are All The Black Kids Sitting Together in the Cafeteria?,Beverly Daniel Tatum,Non-Fiction,Want to Read,0
I'm Still Here: Black Dignity in a World Made for Whiteness,Austin Channing Brown,Non-Fiction,Want to Read,0
White Rage: The Unspoken Truth of Our Racial Divide,Carol  Anderson,Non-Fiction,Want to Read,0
You Are Not Alone,Greer Hendricks,Mystery,Read,4
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Perez,Non-Fiction,Want to Read,0
Digitize and Punish: Racial Criminalization in the Digital Age,Brian Jefferson,Non-Fiction,Want to Read,0
"Concrete Rose (The Hate U Give,  0)",Angie Thomas,Contemporary,Want to Read,0
Homegoing,Yaa Gyasi,Historical,Want to Read,0
"The Hate U Give (The Hate U Give,  1)",Angie Thomas,Contemporary,Read,5
"10 Things I Hate About Pinky (Dimple and Rishi,  3)",Sandhya Menon,Romance,Want to Read,0
"There's Something About Sweetie (Dimple and Rishi,  2)",Sandhya Menon,Romance,Want to Read,0
I Killed Zoe Spanos,Kit Frick,Mystery,Want to Read,0
Don't Ask Me Where I'm From,Jennifer  De Leon,Contemporary,Want to Read,0
Jane Anonymous (Jane Anonymous  1),Laurie Faria Stolarz,Mystery,Want to Read,0
"Loveboat, Taipei (Loveboat, Taipei,  1)",Abigail Hing Wen,Romance,Want to Read,0
You Should See Me in a Crown,Leah  Johnson,Contemporary,Want to Read,0
"An Absolutely Remarkable Thing (The Carls,  1)",Hank Green,Science Fiction,Read,4
Genesis,Bernard Beckett,Science Fiction,Read,4
A Man Called Ove,Fredrik Backman,Contemporary,Want to Read,0
"Lady of the Eternal City (The Empress of Rome,  4)",Kate Quinn,Historical,Want to Read,0
"Empress of the Seven Hills (The Empress of Rome,  3)",Kate Quinn,Historical,Want to Read,0
"Daughters of Rome (The Empress of Rome,  2)",Kate Quinn,Historical,Want to Read,0
The Knockout Queen,Rufi Thorpe,Contemporary,Want to Read,0
Happy & You Know It,Laura Hankin,Contemporary,Want to Read,0
"The Boyfriend Project (The Boyfriend Project,  1)",Farrah Rochon,Romance,Want to Read,0
The Book of Longings,Sue Monk Kidd,Historical,Want to Read,0
A Good Marriage,Kimberly McCreight,Romance,Want to Read,0
"Mistress of Rome (The Empress of Rome,  1)",Kate Quinn,Historical,Read,4
In Five Years,Rebecca Serle,Contemporary,Read,3
Pretty Guilty Women,Gina LaManna,Mystery,Read,4
Circe,Madeline Miller,Fantasy,Read,3
Pretty Things,Janelle Brown,Mystery,Want to Read,0
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Non-Fiction,Want to Read,0
All We Ever Wanted,Emily Giffin,Contemporary,Read,5
Two Can Keep a Secret,Karen M. McManus,Mystery,Read,5
The Cheerleaders,Kara Thomas,Mystery,Read,4
"The Sparrow (The Sparrow,  1)",Mary Doria Russell,Fantasy,Want to Read,0
"Warbreaker (Warbreaker,  1)",Brandon Sanderson,Fantasy,Want to Read,0
"The Damned (The Beautiful,  2)",Renee Ahdieh,Romance,Want to Read,0
Ninth House (Alex Stern  1),Leigh Bardugo,Fantasy,Read,5
To Kill a Kingdom,Alexandra Christo,Fantasy,Read,4
Six Wakes,Mur Lafferty,Science Fiction,Want to Read,0
We Are the Wildcats,Siobhan Vivian,Contemporary,Want to Read,0
Star Daughter,Shveta Thakrar,Fantasy,Want to Read,0
"Red Sister (Book of the Ancestor,  1)",Mark  Lawrence,Fantasy,Want to Read,0
"Blood Song (Raven's Shadow,  1)",Anthony Ryan,Fantasy,Want to Read,0
"Malice (The Faithful and the Fallen,  1)",John Gwynne,Fantasy,Want to Read,0
A Crown for Cold Silver (The Crimson Empire  1),Alex   Marshall,Fantasy,Want to Read,0
The Ruin of Kings (A Chorus of Dragons  1),Jenn Lyons,Fantasy,Want to Read,0
"Chain of Gold (The Last Hours,  1)",Cassandra Clare,Fantasy,Read,3
House of Earth and Blood (Crescent City  1),Sarah J. Maas,Fantasy,Read,5
Everything I Never Told You,Celeste Ng,Contemporary,Want to Read,0
"Hunted by the Sky (The Wrath of Ambar,  1)",Tanaz Bhathena,Fantasy,Want to Read,0
Yes No Maybe So,Becky Albertalli,Contemporary,Want to Read,0
The Night Diary,Veera Hiranandani,Historical,Want to Read,0
"Vicious (Villains,  1)",V.E. Schwab,Fantasy,Want to Read,0
"The Hero of Ages (Mistborn,  3)",Brandon Sanderson,Fantasy,Read,5
Reverie,Ryan La Sala,Fantasy,Want to Read,0
"Flamefall (The Aurelian Cycle,  2)",Rosaria Munda,Fantasy,Want to Read,0
"Fireborne (The Aurelian Cycle,  1)",Rosaria Munda,Fantasy,Read,4
"The Beautiful (The Beautiful,  1)",Renee Ahdieh,Romance,Read,3
"The Name of the Wind (The Kingkiller Chronicle,  1)",Patrick Rothfuss,Fantasy,Want to Read,0
"Starsight (Skyward,  2)",Brandon Sanderson,Science Fiction,Read,5
"Imagine Me (Shatter Me,  6)",Tahereh Mafi,Science Fiction,Want to Read,0
"The Ballad of Songbirds and Snakes (The Hunger Games,  0)",Suzanne Collins,Science Fiction,Want to Read,0
Broad Band: The Untold Story of the Women Who Made the Internet,Claire L.  Evans,Non-Fiction,Read,5
The Glass Hotel,Emily St. John Mandel,Contemporary,Want to Read,0
The Better Liar,Tanen Jones,Contemporary,Want to Read,0
Blueprint: The Evolutionary Origins of a Good Society,Nicholas A. Christakis,Non-Fiction,Want to Read,0
Hacking Darwin: Genetic Engineering and the Future of Humanity,Jamie Metzl,Non-Fiction,Want to Read,0
The Girl He Used to Know,Tracey Garvis Graves,Romance,Want to Read,0
Ayesha at Last,Uzma Jalaluddin,Contemporary,Want to Read,0
The Kiss Thief,L.J. Shen,Romance,Want to Read,0
"The Bear and the Nightingale (The Winternight Trilogy,  1)",Katherine Arden,Fantasy,Want to Read,0
The Ten Thousand Doors of January,Alix E. Harrow,Historical,Want to Read,0
The Starless Sea,Erin Morgenstern,Fantasy,Want to Read,0
"Lost Roses (Lilac Girls,  2)",Martha Hall Kelly,Historical,Want to Read,0
The Lost Girls of Paris,Pam Jenoff,Historical,Want to Read,0
City of Girls,Elizabeth Gilbert,Historical,Want to Read,0
The Huntress,Kate Quinn,Fantasy,Want to Read,0
The Silent Patient,Alex Michaelides,Mystery,Want to Read,0
"My Sister, the Serial Killer",Oyinkan Braithwaite,Contemporary,Want to Read,0
The Bookish Life of Nina Hill,Abbi Waxman,Contemporary,Want to Read,0
More Than Just a Pretty Face,Syed M. Masood,Contemporary,Want to Read,0
"Of Curses and Kisses (St. Rosetta's Academy,  1)",Sandhya Menon,Contemporary,Want to Read,0
"Defy Me (Shatter Me,  5)",Tahereh Mafi,Science Fiction,Want to Read,0
The Kingdom of Back,Marie Lu,Fantasy,Want to Read,0
"The Queen's Assassin (The Queen's Secret,  1)",Melissa de la Cruz,Fantasy,Want to Read,0
"A Curse So Dark and Lonely (Cursebreakers,  1)",Brigid Kemmerer,Fantasy,Want to Read,0
"The Well of Ascension (Mistborn,  2)",Brandon Sanderson,Fantasy,Read,5
Know My Name,Chanel Miller,Non-Fiction,Read,5
"One of Us Is Next (One of Us Is Lying,  2)",Karen M. McManus,Mystery,Want to Read,0
Romanov,Nadine Brandes,Historical,Read,4
"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Ali Wong,Non-Fiction,Want to Read,0
A Face Like Glass,Frances Hardinge,Fantasy,Read,4
The Unhoneymooners,Christina Lauren,Romance,Read,4
The Fountains of Silence,Ruta Sepetys,Historical,Read,5
If Only,Melanie    Murphy,Contemporary,Want to Read,0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-Fiction,Read,4
Regretting You,Colleen Hoover,Contemporary,Want to Read,0
Frankly in Love,David  Yoon,Romance,Want to Read,0
"Mistborn: The Final Empire (Mistborn,  1)",Brandon Sanderson,Fantasy,Read,5
"The Satapur Moonstone (Perveen Mistry,  2)",Sujata Massey,Historical,Want to Read,0
"The Widows of Malabar Hill (Perveen Mistry,  1)",Sujata Massey,Historical,Read,5
The One Device: The Secret History of the iPhone,Brian Merchant,Non-Fiction,Read,4
"Defiant (Skyward,  4)",Brandon Sanderson,Science Fiction,Want to Read,0
"Nowhere (Skyward,  3)",Brandon Sanderson,Science Fiction,Want to Read,0
"Skyward (Skyward,  1)",Brandon Sanderson,Science Fiction,Read,5
"Love, Life, and the List (Love, Life, and the List,  1)",Kasie West,Romance,Read,3
"Rule of Wolves (King of Scars,  2)",Leigh Bardugo,Fantasy,Want to Read,0
"King of Scars (King of Scars,  1)",Leigh Bardugo,Fantasy,Read,5
Luckiest Girl Alive,Jessica Knoll,Mystery,Read,3
"The Fifth Season (The Broken Earth,  1)",N.K. Jemisin,Fantasy,Want to Read,0
Twice in a Blue Moon,Christina Lauren,Romance,Want to Read,0
"Ruin and Rising (The Shadow and Bone Trilogy,  3)",Leigh Bardugo,Fantasy,Read,5
"The Demon in the Wood (The Shadow and Bone Trilogy,  0.5)",Leigh Bardugo,Fantasy,Want to Read,0
"Siege and Storm (The Shadow and Bone Trilogy,  2)",Leigh Bardugo,Fantasy,Read,4
"Shadow and Bone (The Shadow and Bone Trilogy,  1)",Leigh Bardugo,Fantasy,Read,4
To Best the Boys,Mary  Weber,Fantasy,Read,3
"Again, but Better",Christine Riccio,Contemporary,Read,5
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Historical,Want to Read,0
The Binding,Bridget Collins,Historical,Want to Read,0
Packing for Mars: The Curious Science of Life in the Void,Mary Roach,Non-Fiction,Want to Read,0
"Restore Me (Shatter Me,  4)",Tahereh Mafi,Science Fiction,Want to Read,0
Daisy Jones & The Six,Taylor Jenkins Reid,Historical,Want to Read,0
"A Reaper at the Gates (An Ember in the Ashes,  3)",Sabaa Tahir,Fantasy,Read,4
"A Torch Against the Night (An Ember in the Ashes,  2)",Sabaa Tahir,Fantasy,Read,5
Home Fire,Kamila Shamsie,Contemporary,Read,3
"An Ember in the Ashes (An Ember in the Ashes,  1)",Sabaa Tahir,Fantasy,Read,5
"A Sky Beyond the Storm (An Ember in the Ashes,  4)",Sabaa Tahir,Fantasy,Want to Read,0
The Song of Achilles,Madeline Miller,Historical,Read,3
Lies We Tell Ourselves,Robin Talley,Historical,Read,4
"The Gilded Wolves (The Gilded Wolves,  1)",Roshani Chokshi,Fantasy,Want to Read,0
Verity,Colleen Hoover,Contemporary,Want to Read,0
Brightly Burning,Alexa Donne,Contemporary,Want to Read,0
Recursion,Blake Crouch,Science Fiction,Want to Read,0
A Place for Us,Fatima Farheen Mirza,Contemporary,Read,5
Neverworld Wake,Marisha Pessl,Mystery,Want to Read,0
All We Ever Wanted,Emily Giffin,Contemporary,Read,5
The Corset,Laura  Purcell,Mystery,Want to Read,0
Then She Was Gone,Lisa Jewell,Mystery,Read,4
A Very Large Expanse of Sea,Tahereh Mafi,Contemporary,Want to Read,0
All Your Perfects,Colleen Hoover,Contemporary,Want to Read,0
An Anonymous Girl,Greer Hendricks,Mystery,Want to Read,0
"Queen of Air and Darkness (The Dark Artifices,  3)",Cassandra Clare,Fantasy,Read,4
The Wife Between Us,Greer Hendricks,Mystery,Read,4
Bring Me Back,B.A. Paris,Mystery,Read,2
Girls Burn Brighter,Shobha Rao,Contemporary,Read,4
"Crooked Kingdom (Six of Crows,  2)",Leigh Bardugo,Fantasy,Read,5
"The Ruby Circle (Bloodlines,  6)",Richelle Mead,Fantasy,Read,5
"Silver Shadows (Bloodlines,  5)",Richelle Mead,Fantasy,Read,5
"The Fiery Heart (Bloodlines,  4)",Richelle Mead,Fantasy,Read,5
"The Indigo Spell (Bloodlines,  3)",Richelle Mead,Fantasy,Read,5
"The Golden Lily (Bloodlines,  2)",Richelle Mead,Fantasy,Read,5
"The Affiliate (Ascension,  1)",K.A. Linde,Fantasy,Want to Read,0
"Bloodlines (Bloodlines,  1)",Richelle Mead,Fantasy,Read,5
An American Marriage,Tayari Jones,Contemporary,Want to Read,0
